Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:CBA,"Commonwealth Bank (ASX:CBA)",https://www.listcorp.com/asx/cba/commonwealth-bank,"	174908000000",99.17,0.58,0.59,Financials
ASX:BHP,"BHP Group Limited (ASX:BHP)",https://www.listcorp.com/asx/bhp/bhp-group-limited,"	145761000000",51.05,1.57,3.17,Materials
ASX:CSL,"CSL Limited (ASX:CSL)",https://www.listcorp.com/asx/csl/csl-limited,"	125374000000",279.06,3.58,1.3,"Health Care"
ASX:WBC,"Westpac Banking Corp (ASX:WBC)",https://www.listcorp.com/asx/wbc/westpac,"	93072200000",25.52,0.15,0.59,Financials
ASX:NAB,"National Australia Bank (ASX:NAB)",https://www.listcorp.com/asx/nab/nab,"	86029800000",26.22,0.14,0.54,Financials
ASX:ANZ,"ANZ Banking Group (ASX:ANZ)",https://www.listcorp.com/asx/anz/anz,"	79285400000",27.97,0.12,0.43,Financials
ASX:FMG,"Fortescue Metals Group (ASX:FMG)",https://www.listcorp.com/asx/fmg/fortescue-metals,"	73494900000",24.66,0.79,3.31,Materials
ASX:WES,"Wesfarmers Limited (ASX:WES)",https://www.listcorp.com/asx/wes/wesfarmers,"	65762700000",58.29,0.29,0.5,"Consumer Discretionary"
ASX:MQG,"Macquarie Group (ASX:MQG)",https://www.listcorp.com/asx/mqg/macquarie-group,"	56854200000",155.59,1.40,0.91,Financials
ASX:WOW,"Woolworths Group (ASX:WOW)",https://www.listcorp.com/asx/wow/woolworths-group,"	48259500000",38.01,-0.06,-0.16,"Consumer Staples"
ASX:RIO,"Rio Tinto (ASX:RIO)",https://www.listcorp.com/asx/rio/rio-tinto,"	46550500000",127.6,2.19,1.75,Materials
ASX:TLS,"Telstra (ASX:TLS)",https://www.listcorp.com/asx/tls/telstra,"	44599900000",3.73,-0.02,-0.53,"Communication Services"
ASX:TCL,"Transurban Group (ASX:TCL)",https://www.listcorp.com/asx/tcl/transurban,"	39483500000",14.41,-0.01,-0.07,Industrials
ASX:GMG,"Goodman Group (ASX:GMG)",https://www.listcorp.com/asx/gmg/goodman-group,"	39424100000",21.8,0.46,2.16,"Real Estate"
ASX:APT,"Afterpay Limited (ASX:APT)",https://www.listcorp.com/asx/apt/afterpay-limited,"	34025300000",118.64,1.13,0.96,"Information Technology"
ASX:ALL,"Aristocrat Leisure (ASX:ALL)",https://www.listcorp.com/asx/all/aristocrat-leisure,"	26627300000",41.85,0.15,0.36,"Consumer Discretionary"
ASX:WPL,"Woodside Petroleum Ltd (ASX:WPL)",https://www.listcorp.com/asx/wpl/woodside-petroleum,"	22586300000",23.45,0.01,0.04,Energy
ASX:COL,"Coles Group Limited (ASX:COL)",https://www.listcorp.com/asx/col/coles-group-limited,"	22476700000",16.65,-0.20,-1.19,"Consumer Staples"
ASX:REA,"REA Group Ltd (ASX:REA)",https://www.listcorp.com/asx/rea/rea-group,"	21809900000",164.43,-0.64,-0.39,"Communication Services"
ASX:NCM,"Newcrest Mining Limited (ASX:NCM)",https://www.listcorp.com/asx/ncm/newcrest-mining-limited,"	21012500000",25.85,0.14,0.54,Materials
ASX:SYD,"Sydney Airport Limited (ASX:SYD)",https://www.listcorp.com/asx/syd/sydney-airport-limited,"	20914900000",7.81,0.06,0.77,Industrials
ASX:XRO,"Xero Limited (ASX:XRO)",https://www.listcorp.com/asx/xro/xero-limited,"	19893900000",137.12,2.83,2.11,"Information Technology"
ASX:JHX,"James Hardie (ASX:JHX)",https://www.listcorp.com/asx/jhx/james-hardie,"	19556700000",44.52,0.51,1.16,Materials
ASX:SHL,"Sonic Healthcare Limited (ASX:SHL)",https://www.listcorp.com/asx/shl/sonic-healthcare,"	18175400000",38.05,0.02,0.05,"Health Care"
ASX:BXB,"Brambles Limited (ASX:BXB)",https://www.listcorp.com/asx/bxb/brambles-limited,"	16439700000",11.3,-0.09,-0.79,Industrials
ASX:FPH,"Fisher & Paykel Healthcare (ASX:FPH)",https://www.listcorp.com/asx/fph/fisher-and-paykel-healthcare,"	16228500000",28.19,0.04,0.14,"Health Care"
ASX:COH,"Cochlear (ASX:COH)",https://www.listcorp.com/asx/coh/cochlear,"	15992900000",241.85,-1.41,-0.58,"Health Care"
ASX:QBE,"QBE Insurance Group (ASX:QBE)",https://www.listcorp.com/asx/qbe/qbe,"	15489200000",10.65,0.15,1.43,Financials
ASX:REH,"Reece Limited (ASX:REH)",https://www.listcorp.com/asx/reh/reece-limited,"	14851200000",22.95,-0.04,-0.17,Industrials
ASX:STO,"Santos (ASX:STO)",https://www.listcorp.com/asx/sto/santos,"	14831400000",7.08,-0.04,-0.56,Energy
ASX:ASX,"ASX Limited (ASX:ASX)",https://www.listcorp.com/asx/asx/asx-limited,"	14624200000",75.18,-0.36,-0.48,Financials
ASX:MGOC,"Magellan Global Fund (Open Class)(Managed Fund) (ASX:MGOC)",https://www.listcorp.com/asx/mgoc/magellan-global-fund-open-class-managed-fund,"	14583300000",2.72,-0.02,-0.73,Financials
ASX:RHC,"Ramsay Health Care Limited (ASX:RHC)",https://www.listcorp.com/asx/rhc/ramsay-health-care-limited,"	14479100000",63.01,-0.25,-0.4,"Health Care"
ASX:SUN,"Suncorp Group (ASX:SUN)",https://www.listcorp.com/asx/sun/suncorp,"	14459000000",11.38,0.11,0.98,Financials
ASX:SCG,"Scentre Group Limited (ASX:SCG)",https://www.listcorp.com/asx/scg/scentre-group-limited,"	14065900000",2.72,0.01,0.37,"Real Estate"
ASX:RMD,"ResMed Inc (ASX:RMD)",https://www.listcorp.com/asx/rmd/resmed-inc,"	13719600000",33.16,-0.26,-0.78,"Health Care"
ASX:S32,"South32 (ASX:S32)",https://www.listcorp.com/asx/s32/south32,"	13696400000",2.97,0.04,1.37,Materials
ASX:AMC,"Amcor (ASX:AMC)",https://www.listcorp.com/asx/amc/amcor,"	12754400000",15.35,0.01,0.07,Materials
ASX:IAG,"Insurance Australia Group (ASX:IAG)",https://www.listcorp.com/asx/iag/iag,"	12005000000",4.91,0.04,0.82,Financials
ASX:NST,"Northern Star Resources (ASX:NST)",https://www.listcorp.com/asx/nst/northern-star-resources,"	11753200000",10.25,0.15,1.49,Materials
ASX:TPG,"TPG Telecom Limited (ASX:TPG)",https://www.listcorp.com/asx/tpg/tpg-telecom-limited,"	11546500000",6.2,-0.01,-0.16,"Communication Services"
ASX:MGR,"Mirvac Group (ASX:MGR)",https://www.listcorp.com/asx/mgr/mirvac,"	11537000000",2.95,0.02,0.68,"Real Estate"
ASX:SEK,"SEEK Limited (ASX:SEK)",https://www.listcorp.com/asx/sek/seek-limited,"	11293000000",32.52,0.58,1.82,"Communication Services"
ASX:EDV,"Endeavour Group Limited (ASX:EDV)",https://www.listcorp.com/asx/edv/endeavour-group-limited,"	11193600000",6.27,0.02,0.32,"Consumer Staples"
ASX:DXS,"Dexus (ASX:DXS)",https://www.listcorp.com/asx/dxs/dexus,"	11110600000",10.22,-0.11,-1.06,"Real Estate"
ASX:SGP,"Stockland (ASX:SGP)",https://www.listcorp.com/asx/sgp/stockland,"	10813900000",4.61,0.08,1.77,"Real Estate"
ASX:MIN,"Mineral Resources Limited (ASX:MIN)",https://www.listcorp.com/asx/min/mineral-resources-limited,"	10791900000",59.59,2.41,4.21,Materials
ASX:APA,"APA Group (ASX:APA)",https://www.listcorp.com/asx/apa/apa-group,"	10748800000",9.06,-0.05,-0.55,Utilities
ASX:BSL,"BlueScope Steel Limited (ASX:BSL)",https://www.listcorp.com/asx/bsl/bluescope-steel-limited,"	10710900000",21.82,0.56,2.63,Materials
ASX:TAH,"Tabcorp Holdings (ASX:TAH)",https://www.listcorp.com/asx/tah/tabcorp,"	10619300000",4.74,-0.04,-0.84,"Consumer Discretionary"
ASX:AIA,"Auckland International Airport Limited (ASX:AIA)",https://www.listcorp.com/asx/aia/auckland-international-airport-limited,"	10278400000",6.95,-0.03,-0.43,Industrials
ASX:WTC,"WiseTech Global Limited (ASX:WTC)",https://www.listcorp.com/asx/wtc/wisetech-global-limited,"	9952750000",30.64,0.01,0.03,"Information Technology"
ASX:DMP,"Domino's Pizza (ASX:DMP)",https://www.listcorp.com/asx/dmp/dominos-pizza,"	9925960000",116.44,1.72,1.5,"Consumer Discretionary"
ASX:CPU,"Computershare Limited (ASX:CPU)",https://www.listcorp.com/asx/cpu/computershare-limited,"	9659670000",16.09,0.09,0.56,"Information Technology"
ASX:AFI,"Australian Foundation Investment Company (ASX:AFI)",https://www.listcorp.com/asx/afi/australian-foundation-investment-company,"	9534740000",7.85,0.04,0.51,Financials
ASX:MFG,"Magellan Financial Group (ASX:MFG)",https://www.listcorp.com/asx/mfg/magellan-financial-group,"	9412080000",51.77,0.56,1.09,Financials
ASX:GPT,"The GPT Group (ASX:GPT)",https://www.listcorp.com/asx/gpt/gpt-group,"	9241750000",4.88,0.04,0.83,"Real Estate"
ASX:MPL,"Medibank Private Limited (ASX:MPL)",https://www.listcorp.com/asx/mpl/medibank-private-limited,"	8922970000",3.25,0.01,0.31,Financials
ASX:QAN,"Qantas Airways (ASX:QAN)",https://www.listcorp.com/asx/qan/qantas,"	8902130000",4.73,0.01,0.21,Industrials
ASX:MCY,"Mercury NZ Limited (ASX:MCY)",https://www.listcorp.com/asx/mcy/mercury-nz-limited,"	8854960000",6.23,-0.27,-4.15,Utilities
ASX:VAS,"Vanguard Australian Shares Index ETF (ASX:VAS)",https://www.listcorp.com/asx/vas/vanguard-australian-shares-index-etf,"	8680000000",93.8,0.84,0.9,Financials
ASX:TWE,"Treasury Wine Estates (ASX:TWE)",https://www.listcorp.com/asx/twe/treasury-wine,"	8589990000",11.9,0.00,0,"Consumer Staples"
ASX:SPK,"Spark New Zealand Limited (ASX:SPK)",https://www.listcorp.com/asx/spk/spark-new-zealand-limited,"	8551430000",4.58,0.00,0,"Communication Services"
ASX:BLD,"Boral (ASX:BLD)",https://www.listcorp.com/asx/bld/boral,"	8474370000",7.39,0.00,0,Materials
ASX:IEL,"IDP Education Limited (ASX:IEL)",https://www.listcorp.com/asx/iel/idp-education-limited,"	8311120000",29.81,-0.05,-0.17,"Consumer Discretionary"
ASX:OSH,"Oil Search (ASX:OSH)",https://www.listcorp.com/asx/osh/oil-search,"	8082840000",3.85,-0.04,-1.03,Energy
ASX:SOL,"Soul Pattinson WH (ASX:SOL)",https://www.listcorp.com/asx/sol/soul-pattinson,"	8043680000",33.09,-0.51,-1.52,Energy
ASX:LLC,"Lendlease Group (ASX:LLC)",https://www.listcorp.com/asx/llc/lendlease-group,"	8028910000",11.93,0.27,2.32,"Real Estate"
ASX:ORG,"Origin Energy (ASX:ORG)",https://www.listcorp.com/asx/org/origin-energy,"	8013510000",4.52,-0.03,-0.66,Utilities
ASX:EVN,"Evolution Mining Limited (ASX:EVN)",https://www.listcorp.com/asx/evn/evolution-mining-limited,"	7808610000",4.66,0.09,1.97,Materials
ASX:SVW,"Seven Group Holdings (ASX:SVW)",https://www.listcorp.com/asx/svw/seven-group,"	7737450000",21.8,0.50,2.35,Industrials
ASX:CWN,"Crown Resorts Limited (ASX:CWN)",https://www.listcorp.com/asx/cwn/crown-resorts-limited,"	7441970000",10.85,-0.14,-1.27,"Consumer Discretionary"
ASX:OZL,"OZ Minerals (ASX:OZL)",https://www.listcorp.com/asx/ozl/oz-minerals,"	7179590000",22.22,0.62,2.87,Materials
ASX:CHC,"Charter Hall Group (ASX:CHC)",https://www.listcorp.com/asx/chc/charter-hall-group,"	7084470000",15.68,0.47,3.09,"Real Estate"
ASX:VCX,"Vicinity Centres (ASX:VCX)",https://www.listcorp.com/asx/vcx/vicinity-centres,"	7078790000",1.57,0.01,0.96,"Real Estate"
ASX:ALD,"Ampol Limited (ASX:ALD)",https://www.listcorp.com/asx/ald/ampol-limited,"	6932210000",29.18,0.09,0.31,Energy
ASX:AZJ,"Aurizon Holdings (ASX:AZJ)",https://www.listcorp.com/asx/azj/aurizon,"	6902640000",3.76,0.01,0.27,Industrials
ASX:AST,"AusNet Services (ASX:AST)",https://www.listcorp.com/asx/ast/ausnet,"	6721590000",1.755,0.00,0,Utilities
ASX:HVN,"Harvey Norman (ASX:HVN)",https://www.listcorp.com/asx/hvn/harvey-norman,"	6653680000",5.33,-0.01,-0.19,"Consumer Discretionary"
ASX:ARG,"Argo Investments (ASX:ARG)",https://www.listcorp.com/asx/arg/argo,"	6582630000",9.12,0.04,0.44,Financials
ASX:MEZ,"Meridian Energy Limited (ASX:MEZ)",https://www.listcorp.com/asx/mez/meridian-energy-limited,"	6235000000",4.91,-0.06,-1.21,Utilities
ASX:IGO,"IGO Limited (ASX:IGO)",https://www.listcorp.com/asx/igo/igo-limited,"	6179310000",8.27,0.11,1.35,Materials
ASX:CIM,"CIMIC Group Limited (ASX:CIM)",https://www.listcorp.com/asx/cim/cimic-group-limited,"	6082730000",19.59,0.05,0.26,Industrials
ASX:CAR,"Carsales.com (ASX:CAR)",https://www.listcorp.com/asx/car/carsales.com,"	6042540000",21.54,0.11,0.51,"Communication Services"
ASX:ALX,"Atlas Arteria (ASX:ALX)",https://www.listcorp.com/asx/alx/atlas-arteria,"	6041820000",6.32,0.02,0.32,Industrials
ASX:WOR,"Worley Limited (ASX:WOR)",https://www.listcorp.com/asx/wor/worley-limited,"	5977740000",11.32,-0.13,-1.14,Energy
ASX:ALQ,"ALS (ASX:ALQ)",https://www.listcorp.com/asx/alq/als,"	5953130000",12.31,-0.03,-0.24,Industrials
ASX:PME,"Pro Medicus Limited (ASX:PME)",https://www.listcorp.com/asx/pme/pro-medicus,"	5859820000",57.48,1.25,2.22,"Health Care"
ASX:BOQ,"Bank of Queensland (ASX:BOQ)",https://www.listcorp.com/asx/boq/bank-of-queensland,"	5710330000",9.01,0.10,1.12,Financials
ASX:BEN,"Bendigo and Adelaide Bank Limited (ASX:BEN)",https://www.listcorp.com/asx/ben/bendigo-and-adelaide-bank-limited,"	5579180000",10.34,0.13,1.27,Financials
ASX:QUB,"Qube Holdings Limited (ASX:QUB)",https://www.listcorp.com/asx/qub/qube-holdings-limited,"	5568320000",2.94,0.02,0.68,Industrials
ASX:FBU,"Fletcher Building Limited (ASX:FBU)",https://www.listcorp.com/asx/fbu/fletcher-building-limited,"	5526350000",6.71,-0.02,-0.3,Materials
ASX:LYC,"Lynas Rare Earths Limited (ASX:LYC)",https://www.listcorp.com/asx/lyc/lynas-rare-earths-limited,"	5523610000",6.3,0.17,2.77,Materials
ASX:JBH,"JB Hi-Fi (ASX:JBH)",https://www.listcorp.com/asx/jbh/jb-hi-fi,"	5444320000",47.12,-0.27,-0.57,"Consumer Discretionary"
ASX:NXT,"NEXTDC (ASX:NXT)",https://www.listcorp.com/asx/nxt/nextdc,"	5424060000",11.81,-0.09,-0.76,"Information Technology"
ASX:ORI,"Orica (ASX:ORI)",https://www.listcorp.com/asx/ori/orica,"	5407700000",13.17,-0.10,-0.75,Materials
ASX:A2M,"The A2 Milk Company (ASX:A2M)",https://www.listcorp.com/asx/a2m/the-a2-milk-company,"	5352560000",7.15,-0.05,-0.69,"Consumer Staples"
ASX:CWY,"Cleanaway Waste Management (ASX:CWY)",https://www.listcorp.com/asx/cwy/cleanaway-waste-management,"	5313340000",2.59,0.01,0.39,Industrials
ASX:IFT,"Infratil Limited (ASX:IFT)",https://www.listcorp.com/asx/ift/infratil-limited,"	5307970000",7.13,-0.20,-2.73,Utilities
ASX:ANN,"Ansell Limited (ASX:ANN)",https://www.listcorp.com/asx/ann/ansell-limited,"	5266180000",40.77,-0.37,-0.9,"Health Care"
ASX:AGL,"AGL Energy Limited (ASX:AGL)",https://www.listcorp.com/asx/agl/agl-energy-limited,"	5071500000",8.09,-0.05,-0.61,Utilities
ASX:ALU,"Altium (ASX:ALU)",https://www.listcorp.com/asx/alu/altium,"	4952550000",37.88,0.14,0.37,"Information Technology"
ASX:EBO,"EBOS Group (ASX:EBO)",https://www.listcorp.com/asx/ebo/ebos-group,"	4788670000",29.6,0.43,1.47,"Health Care"
ASX:Z1P,"Zip Co Limited (ASX:Z1P)",https://www.listcorp.com/asx/z1p/zip-co-limited,"	4665720000",8.23,-0.07,-0.84,Financials
ASX:STW,"SPDR S&P/ASX 200 Fund (ASX:STW)",https://www.listcorp.com/asx/stw/spdr-s-and-p-asx-200-fund,"	4642540000",67.99,0.56,0.83,Financials
ASX:IPL,"Incitec Pivot Limited (ASX:IPL)",https://www.listcorp.com/asx/ipl/incitec-pivot-limited,"	4641920000",2.43,0.04,1.67,Materials
ASX:IVV,"iShares S&P 500 ETF (ASX:IVV)",https://www.listcorp.com/asx/ivv/ishares-s-and-p-500-etf,"	4599730000",583.63,1.92,0.33,Financials
ASX:AWC,"Alumina Limited (ASX:AWC)",https://www.listcorp.com/asx/awc/alumina-limited,"	4584660000",1.57,-0.01,-0.63,Materials
ASX:NEC,"Nine Entertainment Co. (ASX:NEC)",https://www.listcorp.com/asx/nec/nine-entertainment,"	4382860000",2.61,0.04,1.56,"Communication Services"
ASX:PLS,"Pilbara Minerals (ASX:PLS)",https://www.listcorp.com/asx/pls/pilbara-minerals,"	4319480000",1.53,0.04,2.68,Materials
ASX:PMV,"Premier Investments (ASX:PMV)",https://www.listcorp.com/asx/pmv/premier-investments,"	4295680000",27.09,0.05,0.18,"Consumer Discretionary"
ASX:MLT,"Milton Corporation Limited (ASX:MLT)",https://www.listcorp.com/asx/mlt/milton-corporation-limited,"	4254390000",6.2,-0.11,-1.74,Financials
ASX:BRG,"Breville Group (ASX:BRG)",https://www.listcorp.com/asx/brg/breville,"	4098750000",29.58,0.08,0.27,"Consumer Discretionary"
ASX:RWC,"Reliance Worldwide Corporation (ASX:RWC)",https://www.listcorp.com/asx/rwc/reliance-worldwide-corporation,"	4076890000",5.2,0.04,0.78,Industrials
ASX:MTS,"Metcash Limited (ASX:MTS)",https://www.listcorp.com/asx/mts/metcash-limited,"	3987220000",3.87,-0.03,-0.77,"Consumer Staples"
ASX:CGF,"Challenger Limited (ASX:CGF)",https://www.listcorp.com/asx/cgf/challenger-limited,"	3975210000",5.83,-0.05,-0.85,Financials
ASX:SKI,"Spark Infrastructure (ASX:SKI)",https://www.listcorp.com/asx/ski/spark-infrastructure,"	3931100000",2.26,0.02,0.89,Utilities
ASX:APE,"Eagers Automotive Limited (ASX:APE)",https://www.listcorp.com/asx/ape/eagers-automotive-limited,"	3920800000",15.16,-0.10,-0.66,"Consumer Discretionary"
ASX:NWL,"Netwealth Group (ASX:NWL)",https://www.listcorp.com/asx/nwl/netwealth-group,"	3908160000",16.18,0.15,0.94,Financials
ASX:IOZ,"iShares CORE S&P/ASX 200 ETF (ASX:IOZ)",https://www.listcorp.com/asx/ioz/ishares-core-s-and-p-asx-200-etf,"	3784790000",30.05,0.24,0.81,Financials
ASX:BKW,"Brickworks Limited (ASX:BKW)",https://www.listcorp.com/asx/bkw/brickworks-limited,"	3761110000",24.69,-0.12,-0.48,Materials
ASX:SDF,"Steadfast Group Limited (ASX:SDF)",https://www.listcorp.com/asx/sdf/steadfast-group,"	3747480000",4.34,0.04,0.93,Financials
ASX:DOW,"Downer EDI (ASX:DOW)",https://www.listcorp.com/asx/dow/downer-edi,"	3739930000",5.43,0.06,1.12,Industrials
ASX:AMP,"AMP Limited (ASX:AMP)",https://www.listcorp.com/asx/amp/amp-limited,"	3625380000",1.13,0.02,1.8,Financials
ASX:ILU,"Iluka Resources (ASX:ILU)",https://www.listcorp.com/asx/ilu/iluka,"	3619610000",8.63,0.07,0.82,Materials
ASX:SGR,"The Star Entertainment Group Limited (ASX:SGR)",https://www.listcorp.com/asx/sgr/star-entertainment-group,"	3531970000",3.63,-0.08,-2.16,"Consumer Discretionary"
ASX:VGS,"Vanguard MSCI Index International Shares ETF (ASX:VGS)",https://www.listcorp.com/asx/vgs/vanguard-msci-index-international-shares-etf,"	3469590000",97.68,0.37,0.38,Financials
ASX:SAS,"Sky and Space Company Ltd (ASX:SAS)",https://www.listcorp.com/asx/sas/sky-and-space-company-ltd,"	3416100000",45.7307,0.00,0,"Communication Services"
ASX:VOC,"Vocus Group (ASX:VOC)",https://www.listcorp.com/asx/voc/vocus-group,"	3415270000",5.49,0.00,0,"Communication Services"
ASX:GNE,"Genesis Energy (ASX:GNE)",https://www.listcorp.com/asx/gne/genesis-energy,"	3412470000",3.27,0.00,0,Utilities
ASX:VEA,"Viva Energy Group (ASX:VEA)",https://www.listcorp.com/asx/vea/viva-energy-group,"	3327810000",2.14,0.07,3.38,Energy
ASX:ARB,"ARB Corporation (ASX:ARB)",https://www.listcorp.com/asx/arb/arb-corporation,"	3302940000",40.75,0.24,0.59,"Consumer Discretionary"
ASX:CIA,"Champion Iron (ASX:CIA)",https://www.listcorp.com/asx/cia/champion-iron,"	3230940000",6.44,0.06,0.94,Materials
ASX:SGM,"Sims Limited (ASX:SGM)",https://www.listcorp.com/asx/sgm/sims-limited,"	3163350000",15.9,0.20,1.27,Materials
ASX:PXA,"PEXA Group Limited (ASX:PXA)",https://www.listcorp.com/asx/pxa/pexa-group-limited,"	3129800000",17.5,-0.15,-0.85,"Real Estate"
ASX:VUK,"Virgin Money UK PLC (ASX:VUK)",https://www.listcorp.com/asx/vuk/virgin-money-uk-plc,"	3080570000",3.52,0.03,0.86,Financials
ASX:CDA,"Codan Limited (ASX:CDA)",https://www.listcorp.com/asx/cda/codan-limited,"	3077630000",17.34,0.29,1.7,"Information Technology"
ASX:CLW,"Charter Hall Long WALE REIT (ASX:CLW)",https://www.listcorp.com/asx/clw/charter-hall-long-wale-reit,"	3065690000",4.93,0.05,1.02,"Real Estate"
ASX:GOZ,"Growthpoint Properties Australia (ASX:GOZ)",https://www.listcorp.com/asx/goz/growthpoint-properties,"	3064330000",3.99,0.02,0.5,"Real Estate"
ASX:FLT,"Flight Centre Travel (ASX:FLT)",https://www.listcorp.com/asx/flt/flight-centre,"	3050020000",15.37,0.07,0.46,"Consumer Discretionary"
ASX:DHG,"Domain Holdings Australia Limited (ASX:DHG)",https://www.listcorp.com/asx/dhg/domain-holdings-australia,"	3044010000",5.2,-0.01,-0.19,"Communication Services"
ASX:MGF,"Magellan Global Fund (ASX:MGF)",https://www.listcorp.com/asx/mgf/magellan-global-fund,"	3012060000",1.78,0.00,0,Unclassified
ASX:PDL,"Pendal Group Limited (ASX:PDL)",https://www.listcorp.com/asx/pdl/pendal-group-limited,"	2962850000",7.85,0.05,0.64,Financials
ASX:ORA,"Orora Group Limited (ASX:ORA)",https://www.listcorp.com/asx/ora/orora-group-limited,"	2934690000",3.37,0.02,0.6,Materials
ASX:NHF,"NIB Holdings (ASX:NHF)",https://www.listcorp.com/asx/nhf/nib,"	2934130000",6.37,-0.04,-0.62,Financials
ASX:TNE,"Technology One (ASX:TNE)",https://www.listcorp.com/asx/tne/technology-one,"	2927000000",9.13,0.03,0.33,"Information Technology"
ASX:BPT,"Beach Energy (ASX:BPT)",https://www.listcorp.com/asx/bpt/beach-energy,"	2885890000",1.275,0.01,0.79,Energy
ASX:HLS,"Healius Limited (ASX:HLS)",https://www.listcorp.com/asx/hls/healius-limited,"	2884590000",4.65,0.02,0.43,"Health Care"
ASX:SNZ,"Summerset Group Holdings Limited (ASX:SNZ)",https://www.listcorp.com/asx/snz/summerset-group-holdings-limited,"	2851460000",12.62,0.19,1.53,"Health Care"
ASX:TLT,"Tilt Renewables Limited (ASX:TLT)",https://www.listcorp.com/asx/tlt/tilt-renewables-limited,"	2830020000",7.51,0.00,0,Utilities
ASX:CTD,"Corporate Travel Management Limited (ASX:CTD)",https://www.listcorp.com/asx/ctd/corporate-travel-management,"	2828100000",20.98,0.25,1.21,"Consumer Discretionary"
ASX:YAL,"Yancoal Australia (ASX:YAL)",https://www.listcorp.com/asx/yal/yancoal,"	2786130000",2.13,0.02,0.95,Energy
ASX:SUL,"Super Retail Group (ASX:SUL)",https://www.listcorp.com/asx/sul/super-retail-group,"	2775410000",12.59,0.30,2.44,"Consumer Discretionary"
ASX:IFL,"IOOF Holdings (ASX:IFL)",https://www.listcorp.com/asx/ifl/ioof,"	2759630000",4.28,0.03,0.71,Financials
ASX:BAP,"Bapcor Limited (ASX:BAP)",https://www.listcorp.com/asx/bap/bapcor-limited,"	2749240000",8.09,-0.01,-0.12,"Consumer Discretionary"
ASX:BWP,"BWP Trust (ASX:BWP)",https://www.listcorp.com/asx/bwp/bwp-trust,"	2736560000",4.29,0.03,0.7,"Real Estate"
ASX:VTS,"Vanguard US Total Market Shares Index ETF (ASX:VTS)",https://www.listcorp.com/asx/vts/vanguard-us-total-market-shares-index-etf,"	2674360000",301.99,1.59,0.53,Financials
ASX:PTM,"Platinum Asset Management (ASX:PTM)",https://www.listcorp.com/asx/ptm/platinum-asset,"	2669390000",4.6,0.05,1.1,Financials
ASX:NIC,"Nickel Mines Limited (ASX:NIC)",https://www.listcorp.com/asx/nic/nickel-mines-limited,"	2653360000",1.095,0.04,3.79,Materials
ASX:LNK,"Link Administration Holdings (ASX:LNK)",https://www.listcorp.com/asx/lnk/link-administration-holdings,"	2643600000",4.91,-0.02,-0.41,"Information Technology"
ASX:CNU,"Chorus Limited (ASX:CNU)",https://www.listcorp.com/asx/cnu/chorus-limited,"	2641920000",5.93,0.02,0.34,"Communication Services"
ASX:ABP,"Abacus Property Group (ASX:ABP)",https://www.listcorp.com/asx/abp/abacus-property,"	2619490000",3.23,0.03,0.94,"Real Estate"
ASX:PBH,"Pointsbet Holdings Limited (ASX:PBH)",https://www.listcorp.com/asx/pbh/pointsbet-holdings-limited,"	2584270000",12.27,-0.17,-1.37,"Consumer Discretionary"
ASX:SCP,"SCA Property Group (ASX:SCP)",https://www.listcorp.com/asx/scp/sca-property,"	2581250000",2.43,0.04,1.67,"Real Estate"
ASX:MP1,"Megaport Limited (ASX:MP1)",https://www.listcorp.com/asx/mp1/megaport-limited,"	2558950000",16.07,-0.25,-1.53,"Information Technology"
ASX:CHN,"Chalice Mining Limited (ASX:CHN)",https://www.listcorp.com/asx/chn/chalice-mining-limited,"	2545930000",7.42,0.08,1.09,Materials
ASX:CSR,"CSR (ASX:CSR)",https://www.listcorp.com/asx/csr/csr,"	2538550000",5.27,0.04,0.76,Materials
ASX:NSR,"National Storage REIT (ASX:NSR)",https://www.listcorp.com/asx/nsr/national-storage-reit,"	2460790000",2.1,0.02,0.96,"Real Estate"
ASX:IRE,"Iress Limited (ASX:IRE)",https://www.listcorp.com/asx/ire/iress,"	2435910000",12.52,-0.08,-0.63,"Information Technology"
ASX:LFS,"Latitude Financial Services Group Limited (ASX:LFS)",https://www.listcorp.com/asx/lfs/latitude-financial-services-group-limited,"	2420000000",2.47,0.05,2.07,Financials
ASX:SKC,"SkyCity Entertainment Group Limited (ASX:SKC)",https://www.listcorp.com/asx/skc/skycity-entertainment-group,"	2417450000",3.16,-0.02,-0.63,"Consumer Discretionary"
ASX:CMW,"Cromwell Property Group (ASX:CMW)",https://www.listcorp.com/asx/cmw/cromwell-property-group,"	2355720000",0.9,0.00,0,"Real Estate"
ASX:IOO,"iShares Global 100 ETF (ASX:IOO)",https://www.listcorp.com/asx/ioo/ishares-global-100-etf,"	2348980000",96.78,0.26,0.27,Financials
ASX:CNI,"Centuria Capital Group (ASX:CNI)",https://www.listcorp.com/asx/cni/centuria-capital,"	2346610000",3.02,0.03,1,"Real Estate"
ASX:ZIM,"Zimplats Holdings (ASX:ZIM)",https://www.listcorp.com/asx/zim/zimplats,"	2323900000",21.37,-0.22,-1.02,Materials
ASX:UWL,"Uniti Group Limited (ASX:UWL)",https://www.listcorp.com/asx/uwl/uniti-group-limited,"	2283810000",3.38,0.03,0.9,"Communication Services"
ASX:DRR,"Deterra Royalties Limited (ASX:DRR)",https://www.listcorp.com/asx/drr/deterra-royalties-limited,"	2277850000",4.39,0.08,1.86,Materials
